Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
PF,24,71,7,12.9,1.8,4.1,0.447,0.0,0.0,0.0,1.8,4.1,0.448,0.447,0.7,1.5,0.431,1.9,3.1,5.1,0.6,0.5,0.5,1.0,1.6,4.3
PF,35,76,76,21.5,3.5,7.9,0.45,0.9,2.1,0.404,2.7,5.8,0.467,0.504,0.8,1.1,0.726,1.1,3.6,4.7,0.9,0.6,0.4,0.9,2.3,8.7
SF,19,73,6,23.1,3.1,8.2,0.375,0.9,2.8,0.307,2.2,5.4,0.41,0.428,1.1,1.4,0.784,0.8,3.4,4.2,1.6,0.8,0.2,1.6,2.4,8.1
SF,26,28,28,33.3,4.0,9.7,0.415,3.3,8.4,0.389,0.8,1.4,0.579,0.583,1.3,1.5,0.854,0.0,3.8,3.8,1.5,0.4,0.3,1.5,2.3,12.6
C,32,28,28,27.1,3.9,8.5,0.46,1.6,4.6,0.359,2.3,3.9,0.578,0.557,1.3,1.6,0.841,1.5,3.6,5.1,0.6,0.5,1.3,0.8,1.9,10.8
PG,36,29,29,34.7,9.4,18.8,0.504,2.5,6.7,0.378,6.9,12.1,0.573,0.571,4.2,6.0,0.711,0.6,7.6,8.2,7.9,1.0,0.5,3.7,1.6,25.7
SG,26,82,82,38.1,8.7,19.7,0.439,2.9,8.0,0.359,5.8,11.7,0.494,0.512,8.8,10.2,0.86,0.8,5.3,6.1,7.5,1.7,0.6,4.6,2.8,29.0
SF,26,13,0,3.2,0.7,1.1,0.643,0.6,0.8,0.727,0.1,0.2,0.333,0.929,0.0,0.0,0.0,0.1,0.6,0.7,0.2,0.0,0.2,0.1,0.5,2.0
PG,30,23,23,32.5,6.5,13.0,0.502,1.9,4.8,0.387,4.7,8.2,0.569,0.574,1.5,1.9,0.791,1.3,3.5,4.8,5.4,1.9,0.6,1.6,1.7,16.4
C,22,78,46,23.3,3.4,8.0,0.423,0.0,0.1,0.143,3.4,7.9,0.426,0.424,2.2,3.1,0.728,2.3,5.3,7.6,1.2,0.5,0.8,1.9,2.9,9.0
PF,31,25,25,33.4,6.6,13.4,0.488,0.6,1.9,0.333,5.9,11.5,0.514,0.512,6.0,6.8,0.893,0.8,4.2,5.0,6.9,0.8,0.3,1.6,1.8,19.8
C,22,22,0,11.8,1.2,2.8,0.419,0.1,0.4,0.375,1.0,2.5,0.426,0.444,0.6,0.8,0.722,1.1,3.8,4.9,0.9,0.2,0.4,0.7,2.0,3.1
SF,28,73,38,22.4,1.8,3.5,0.518,0.2,0.8,0.283,1.6,2.7,0.59,0.551,0.6,0.9,0.667,0.8,2.5,3.4,1.0,0.9,0.2,0.8,2.3,4.5
C,31,20,0,14.8,3.5,5.7,0.619,0.0,0.1,0.0,3.5,5.6,0.625,0.619,1.4,2.6,0.529,1.6,4.1,5.7,0.5,0.3,1.4,1.0,1.8,8.4
C,39,61,60,25.2,3.5,7.2,0.488,0.0,0.0,0.0,3.5,7.2,0.49,0.488,1.5,2.1,0.702,1.9,5.4,7.3,2.7,0.8,1.3,1.5,2.0,8.6
PF,24,23,0,8.3,0.7,2.1,0.347,0.5,1.4,0.333,0.3,0.7,0.375,0.459,0.2,0.2,0.8,0.3,0.9,1.3,0.4,0.2,0.1,0.4,0.7,2.1
PF,27,23,23,32.8,8.9,16.7,0.533,0.7,2.5,0.293,8.1,14.1,0.575,0.555,4.0,5.7,0.715,2.0,6.3,8.4,3.0,1.3,1.8,2.0,1.8,22.5
PG,30,19,19,31.1,7.4,16.8,0.441,2.1,5.8,0.351,5.4,11.0,0.488,0.502,3.5,4.7,0.744,0.5,3.2,3.7,6.3,1.0,0.7,3.5,1.4,20.4
SG,23,3,1,13.7,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.25,0.0,0.0,0.0,0.7,1.3,2.0,0.7,1.0,0.7,0.7,1.0,2.0
SF,23,66,59,30.9,4.5,9.6,0.466,1.2,3.2,0.383,3.2,6.3,0.508,0.531,1.5,2.0,0.761,1.2,3.8,4.9,1.8,0.6,0.2,0.9,2.1,11.7
SG,23,79,79,32.2,5.2,12.3,0.42,2.0,5.7,0.359,3.1,6.6,0.472,0.503,2.2,2.5,0.86,0.5,2.9,3.4,2.7,0.9,0.2,1.6,2.6,14.5
PF,26,25,25,35.8,7.6,16.8,0.455,1.2,4.2,0.298,6.4,12.6,0.506,0.492,4.1,5.1,0.797,2.2,5.6,7.8,4.5,1.2,0.6,2.2,3.1,20.6
PF,29,28,1,19.0,1.5,4.3,0.358,1.0,3.2,0.322,0.5,1.1,0.467,0.479,0.3,0.4,0.8,0.4,1.9,2.3,0.9,0.6,0.2,0.5,1.6,4.4
SG,22,13,1,10.3,1.8,4.2,0.436,0.8,2.3,0.333,1.1,1.9,0.56,0.527,0.5,0.7,0.778,0.2,0.8,1.0,0.4,0.3,0.1,0.2,1.2,5.0
PF,23,61,10,21.9,3.2,7.1,0.448,1.4,3.7,0.377,1.8,3.4,0.527,0.547,0.6,0.8,0.761,0.8,4.3,5.1,1.5,0.1,0.3,1.3,3.0,8.4
PF,30,73,55,26.5,3.6,6.8,0.526,0.0,0.0,0.0,3.6,6.8,0.529,0.526,1.4,2.0,0.692,2.8,4.1,6.9,1.5,0.6,1.1,1.1,2.5,8.6
PG,29,61,18,20.7,3.0,7.3,0.411,1.3,3.3,0.399,1.7,4.0,0.421,0.502,1.4,1.6,0.848,0.4,1.9,2.3,2.6,1.1,0.1,1.0,2.1,8.7
SG,28,20,0,8.7,0.6,2.0,0.282,0.1,0.6,0.083,0.5,1.4,0.37,0.295,0.7,0.9,0.722,0.3,1.5,1.8,1.0,0.4,0.2,0.5,1.7,1.8
SF,25,11,4,27.6,4.5,10.5,0.422,1.2,4.1,0.289,3.3,6.5,0.507,0.478,1.3,1.9,0.667,1.1,4.5,5.6,2.3,0.7,0.3,1.5,2.2,11.4
PF,26,30,30,36.7,8.1,16.9,0.48,1.8,4.5,0.407,6.3,12.4,0.507,0.535,5.1,6.4,0.802,1.4,9.5,10.9,5.5,0.7,0.2,3.3,3.1,23.2
PG,34,72,72,28.1,2.9,6.3,0.459,1.2,2.8,0.414,1.7,3.5,0.496,0.552,0.6,0.7,0.875,0.3,2.9,3.2,4.2,0.9,0.1,1.2,1.9,7.6
SG,19,70,6,14.3,1.2,3.8,0.305,0.6,2.1,0.293,0.5,1.7,0.319,0.385,0.2,0.2,0.8,0.2,1.1,1.3,0.6,0.4,0.2,0.4,1.0,3.1
C,25,82,82,25.4,3.3,6.3,0.516,0.0,0.0,0.0,3.3,6.3,0.52,0.516,2.6,4.1,0.642,2.5,5.2,7.7,2.8,0.8,1.0,1.9,3.1,9.1
SG,22,68,53,21.2,2.9,6.7,0.429,1.0,2.7,0.362,1.9,4.0,0.474,0.502,1.1,1.5,0.718,0.5,1.7,2.2,1.2,0.8,0.1,1.5,2.1,7.8
SG,27,3,3,21.3,2.0,5.3,0.375,0.7,2.3,0.286,1.3,3.0,0.444,0.438,2.0,2.0,1.0,0.0,4.3,4.3,3.0,0.7,0.3,1.7,1.3,6.7
PG,20,3,0,3.0,0.3,1.3,0.25,0.0,0.3,0.0,0.3,1.0,0.333,0.25,1.0,1.0,1.0,0.3,1.0,1.3,0.7,0.0,0.0,0.0,0.0,1.7
PF,28,78,0,15.1,1.5,3.7,0.413,0.6,1.4,0.398,1.0,2.3,0.421,0.488,0.8,1.0,0.782,1.0,2.7,3.7,0.8,0.3,0.3,0.7,1.8,4.4
SF,35,76,45,28.8,3.5,9.1,0.381,1.6,4.9,0.322,1.9,4.3,0.449,0.467,1.5,1.8,0.804,1.1,4.4,5.5,2.1,1.0,0.8,1.6,3.1,10.0
SG,24,80,4,25.6,3.2,7.3,0.439,0.4,1.4,0.273,2.8,5.9,0.478,0.465,1.7,2.2,0.764,0.5,2.1,2.6,3.1,0.8,0.3,1.3,1.6,8.5
C,30,29,29,33.6,9.3,19.6,0.476,2.6,6.2,0.414,6.8,13.4,0.505,0.542,2.1,2.6,0.816,2.1,9.5,11.6,3.4,1.1,0.6,1.7,1.7,23.4
SG,30,22,22,29.0,4.6,9.3,0.5,2.1,4.4,0.479,2.5,4.9,0.519,0.613,1.8,1.8,0.975,0.2,1.7,1.9,2.7,0.8,0.3,1.4,1.7,13.1
SG,31,61,25,14.9,1.7,4.5,0.383,0.9,2.3,0.364,0.9,2.2,0.403,0.477,0.5,0.6,0.821,0.4,2.0,2.4,1.4,0.6,0.1,0.7,1.4,4.9
SF,23,2,0,3.0,1.5,2.0,0.75,0.0,0.5,0.0,1.5,1.5,1.0,0.75,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,3.0
SG,22,24,24,35.3,8.4,17.4,0.484,1.5,3.6,0.407,7.0,13.8,0.505,0.526,4.5,5.5,0.805,0.8,1.8,2.5,4.3,1.1,0.2,2.5,2.9,22.8
C,23,29,1,7.8,1.0,1.5,0.636,0.0,0.1,0.333,0.9,1.4,0.659,0.648,0.3,0.5,0.533,0.6,1.0,1.6,0.2,0.4,0.4,0.4,1.0,2.2
C,29,27,0,16.4,2.4,3.9,0.629,0.0,0.0,0.0,2.4,3.9,0.635,0.629,1.4,1.7,0.804,2.1,3.5,5.6,0.9,0.6,1.1,0.6,2.5,6.3
SG,33,13,0,14.8,1.6,4.5,0.356,0.9,2.8,0.324,0.7,1.7,0.409,0.458,0.8,1.2,0.733,0.1,2.0,2.1,1.1,0.3,0.1,0.2,1.9,5.0
PF,33,76,4,18.2,2.7,5.0,0.527,0.3,0.9,0.362,2.3,4.1,0.564,0.56,0.7,1.0,0.737,0.8,2.3,3.1,2.3,0.3,0.3,1.3,1.3,6.4
SG,29,15,0,12.9,1.1,2.7,0.4,0.9,1.9,0.483,0.1,0.7,0.182,0.575,0.0,0.0,0.0,0.4,1.2,1.6,0.9,0.1,0.1,0.4,0.9,3.1
PG,30,51,0,9.2,1.5,3.2,0.448,0.3,0.8,0.357,1.2,2.4,0.48,0.494,0.8,0.9,0.894,0.1,0.7,0.8,1.1,0.2,0.0,0.5,0.7,4.0
SG,23,36,5,24.0,3.3,6.8,0.486,0.8,2.0,0.38,2.5,4.8,0.529,0.541,1.4,1.8,0.797,0.8,2.3,3.0,2.2,0.7,0.4,1.3,1.8,8.7
SF,27,12,0,14.3,2.6,5.2,0.5,0.8,2.1,0.4,1.8,3.1,0.568,0.581,1.2,1.5,0.778,0.0,2.4,2.4,0.9,0.4,0.1,0.7,1.1,7.2
PF,34,68,53,29.6,6.3,13.3,0.475,0.1,0.4,0.231,6.3,13.0,0.482,0.479,2.5,3.2,0.796,2.6,5.1,7.8,2.1,0.6,0.2,1.5,2.1,15.3
PF,30,13,0,10.5,0.6,2.2,0.286,0.5,1.7,0.273,0.2,0.5,0.333,0.393,0.3,0.4,0.8,0.2,1.9,2.1,0.9,0.5,0.1,0.5,1.2,2.0
C,35,72,72,31.8,6.5,13.8,0.469,0.3,1.0,0.348,6.2,12.9,0.478,0.481,3.2,4.0,0.792,2.2,8.9,11.0,4.1,0.6,2.0,2.3,2.1,16.5
C,30,25,0,3.8,0.4,0.7,0.529,0.0,0.0,0.0,0.4,0.7,0.529,0.529,0.2,0.4,0.455,0.5,0.6,1.0,0.1,0.2,0.2,0.3,0.4,0.9
PF,27,73,73,33.0,6.8,13.2,0.514,0.1,0.4,0.233,6.7,12.8,0.523,0.518,1.4,2.2,0.644,2.4,6.6,9.0,1.8,1.5,0.5,1.9,2.5,15.1
SG,20,4,0,1.3,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
SF,21,77,52,26.8,3.3,7.8,0.419,0.5,1.9,0.24,2.8,5.9,0.477,0.448,2.8,4.2,0.658,1.3,3.4,4.7,1.8,0.7,1.6,1.4,2.8,9.7
PG,23,9,1,10.0,0.7,3.0,0.222,0.3,1.3,0.25,0.3,1.7,0.2,0.278,0.8,0.9,0.875,0.2,0.7,0.9,2.8,0.6,0.0,1.4,0.7,2.4
PG,24,55,0,10.9,1.2,3.7,0.338,0.6,1.9,0.327,0.6,1.8,0.351,0.423,0.6,0.8,0.733,0.2,0.8,1.0,1.8,0.4,0.0,0.8,0.7,3.7
PG,27,2,0,20.0,4.0,10.5,0.381,1.5,4.5,0.333,2.5,6.0,0.417,0.452,0.0,1.0,0.0,1.5,2.0,3.5,2.5,1.5,0.5,1.5,2.0,9.5
C,20,82,82,32.0,7.6,14.1,0.542,0.4,1.1,0.341,7.3,13.0,0.559,0.555,2.7,3.4,0.811,2.8,7.7,10.5,2.0,0.7,1.7,2.2,3.0,18.3
PG,32,20,0,22.3,5.0,11.7,0.427,0.8,2.4,0.333,4.2,9.3,0.452,0.462,2.7,3.2,0.841,0.4,1.8,2.2,4.0,1.2,0.4,1.9,1.1,13.5
PF,28,10,1,6.5,0.3,1.0,0.3,0.1,0.7,0.143,0.2,0.3,0.667,0.35,0.3,0.4,0.75,0.3,1.6,1.9,0.3,0.3,0.2,0.3,0.3,1.0
C,25,65,60,31.3,8.2,16.1,0.51,0.0,0.1,0.222,8.2,16.0,0.512,0.511,1.7,2.3,0.753,2.7,6.2,8.9,2.8,0.8,1.1,1.9,2.7,18.2
PG,24,24,8,23.5,3.3,8.0,0.406,0.7,2.8,0.25,2.5,5.2,0.492,0.451,0.5,0.6,0.8,0.6,2.1,2.8,5.3,1.3,0.1,1.0,0.5,7.7
SG,31,24,24,37.6,7.6,15.8,0.482,3.0,7.9,0.384,4.6,7.9,0.579,0.578,6.2,6.9,0.897,0.8,6.5,7.3,11.3,1.0,0.8,4.3,2.3,24.5
SG,28,11,11,30.9,6.9,17.9,0.386,2.1,7.0,0.299,4.8,10.9,0.442,0.444,2.5,3.3,0.75,0.3,4.5,4.8,4.9,1.1,0.5,2.4,2.3,18.4
PG,28,29,29,36.0,8.1,18.4,0.442,2.7,6.7,0.395,5.5,11.7,0.469,0.514,2.7,2.9,0.906,0.8,4.1,4.8,6.6,1.3,0.3,2.1,1.9,21.6
PG,24,9,0,4.7,0.6,1.4,0.385,0.1,0.6,0.2,0.4,0.9,0.5,0.423,0.2,0.2,1.0,0.3,0.3,0.7,0.3,0.1,0.0,0.0,0.4,1.4
PG,21,57,13,19.5,3.1,7.4,0.417,0.4,1.7,0.232,2.7,5.7,0.474,0.444,2.3,3.4,0.674,0.5,2.0,2.5,2.1,0.5,0.2,1.8,1.5,8.9
SG,24,35,0,11.3,0.8,2.3,0.35,0.3,1.4,0.245,0.5,0.9,0.516,0.425,0.5,0.6,0.727,0.1,1.3,1.4,1.1,0.3,0.1,0.7,1.3,2.4
PF,33,23,0,18.4,2.6,5.3,0.488,0.6,2.2,0.28,2.0,3.2,0.63,0.545,0.6,1.0,0.542,0.5,2.6,3.1,1.6,0.9,0.8,1.1,2.1,6.4
SG,32,55,13,19.9,2.8,7.6,0.372,0.9,2.5,0.36,1.9,5.1,0.378,0.431,2.8,3.1,0.89,0.3,1.7,2.0,1.1,0.5,0.1,1.0,1.5,9.3
C,27,59,17,14.6,2.5,5.3,0.476,0.0,0.0,0.0,2.5,5.3,0.478,0.476,0.9,1.1,0.839,1.3,3.3,4.6,0.5,0.3,0.6,0.9,2.3,6.0
SG,22,20,2,22.8,3.8,7.8,0.484,2.1,4.3,0.482,1.7,3.5,0.486,0.616,0.7,0.9,0.824,0.5,2.2,2.7,1.6,0.7,0.2,1.2,1.9,10.3
SG,32,22,10,29.4,6.2,13.5,0.463,2.7,7.8,0.351,3.5,5.7,0.616,0.564,3.5,4.2,0.848,0.3,1.9,2.2,2.7,0.5,0.5,1.9,1.5,18.7
C,25,51,10,12.9,1.7,3.2,0.537,0.0,0.0,0.0,1.7,3.1,0.544,0.537,0.8,1.2,0.729,1.1,2.3,3.4,0.4,0.4,1.0,0.5,1.5,4.3
SG,26,8,4,23.6,4.3,10.8,0.395,1.9,5.5,0.341,2.4,5.3,0.452,0.483,1.4,1.9,0.733,0.1,1.6,1.8,3.9,1.0,1.0,0.9,2.3,11.8
PF,30,81,41,25.9,2.9,6.0,0.478,1.2,2.9,0.42,1.6,3.1,0.534,0.581,0.9,1.2,0.735,0.7,2.9,3.5,2.1,0.9,0.2,1.0,2.3,7.9
PF,26,79,28,20.2,2.4,4.7,0.516,0.0,0.0,0.0,2.4,4.7,0.516,0.516,0.6,0.9,0.63,2.1,3.3,5.4,1.0,0.3,0.5,0.9,1.9,5.4
SF,20,63,9,10.7,1.4,3.3,0.427,0.4,1.3,0.316,1.0,2.1,0.492,0.486,0.5,0.8,0.633,0.4,1.7,2.1,0.2,0.3,0.1,0.5,1.6,3.7
PG,28,61,33,21.6,2.5,5.7,0.44,0.6,1.6,0.384,1.9,4.1,0.462,0.494,1.3,1.7,0.75,0.3,2.6,2.8,4.4,0.5,0.1,1.3,1.2,7.0
PF,23,18,0,14.7,1.7,4.3,0.403,0.1,0.8,0.133,1.6,3.4,0.468,0.416,1.0,1.5,0.667,0.4,2.2,2.6,1.1,0.4,0.3,0.4,1.2,4.6
C,25,11,0,7.1,0.4,0.9,0.4,0.0,0.1,0.0,0.4,0.8,0.444,0.4,0.5,0.8,0.556,0.6,0.8,1.5,0.0,0.1,0.5,0.5,1.6,1.2
SG,30,71,57,33.4,5.0,11.3,0.443,1.3,3.4,0.382,3.7,7.9,0.469,0.5,1.5,1.8,0.84,0.3,3.4,3.7,2.0,0.4,0.1,1.2,2.0,12.8
PG,19,6,0,6.0,0.5,2.2,0.231,0.3,1.5,0.222,0.2,0.7,0.25,0.308,0.2,0.7,0.25,0.0,1.3,1.3,2.0,0.3,0.0,0.3,0.8,1.5
C,27,29,0,24.6,5.3,8.3,0.646,0.0,0.1,0.0,5.3,8.1,0.657,0.646,2.6,3.6,0.738,2.3,4.0,6.3,1.1,0.7,0.7,1.3,2.2,13.3
SG,31,14,1,16.2,2.3,5.2,0.438,0.4,1.4,0.263,1.9,3.9,0.5,0.473,0.4,0.6,0.75,0.4,1.1,1.4,1.6,0.8,0.1,0.9,1.6,5.4
C,23,10,1,11.7,1.9,3.6,0.528,0.0,0.1,0.0,1.9,3.5,0.543,0.528,0.3,0.5,0.6,2.1,2.9,5.0,0.6,0.3,0.6,0.1,1.1,4.1
PF,30,53,17,15.8,2.3,5.6,0.41,0.6,2.0,0.315,1.6,3.5,0.465,0.468,1.3,1.6,0.798,1.1,3.0,4.1,0.7,0.3,0.4,0.7,1.8,6.5
SG,28,13,1,12.2,1.6,3.6,0.447,1.2,2.5,0.469,0.5,1.2,0.4,0.606,0.2,0.2,1.0,0.2,1.0,1.2,0.8,0.3,0.0,0.3,0.6,4.5
SF,25,30,5,19.7,2.6,6.4,0.404,1.5,4.1,0.366,1.1,2.3,0.471,0.521,0.6,0.8,0.75,0.6,1.8,2.4,1.3,0.6,0.2,0.7,1.6,7.3
PG,23,26,26,34.9,7.2,15.9,0.452,2.3,6.3,0.358,4.9,9.6,0.514,0.523,2.8,3.4,0.809,0.7,3.6,4.3,4.5,1.1,0.3,2.3,2.1,19.4
SG,27,81,12,28.0,4.2,9.3,0.456,0.2,1.0,0.241,4.0,8.3,0.482,0.469,1.8,2.2,0.827,0.6,4.3,4.9,4.4,1.0,0.3,2.1,1.7,10.5
PF,23,81,73,23.6,4.3,10.0,0.435,0.4,1.3,0.282,4.0,8.7,0.458,0.453,1.3,2.0,0.64,2.4,5.9,8.3,2.3,0.9,0.6,1.3,2.6,10.3
C,27,73,73,33.7,8.1,15.8,0.511,0.0,0.2,0.143,8.1,15.7,0.515,0.512,4.3,5.5,0.787,2.8,5.1,7.8,2.0,0.8,1.7,2.4,2.9,20.6
SG,28,27,17,30.6,5.9,13.3,0.439,3.1,7.8,0.393,2.8,5.5,0.503,0.554,1.9,2.4,0.785,0.2,3.0,3.2,1.6,0.7,0.1,0.9,1.6,16.7
SF,28,81,2,15.3,1.5,3.6,0.426,1.0,2.6,0.386,0.5,1.0,0.531,0.565,0.2,0.2,0.722,0.2,1.6,1.9,1.2,0.7,0.0,0.8,1.2,4.2
PG,22,8,8,26.9,5.1,13.0,0.394,0.5,2.0,0.25,4.6,11.0,0.42,0.413,2.1,2.4,0.895,0.6,2.5,3.1,5.4,1.0,0.3,2.3,2.3,12.9
SG,24,80,80,34.8,8.0,17.9,0.448,2.5,5.9,0.417,5.6,12.0,0.463,0.517,2.3,2.8,0.827,0.6,2.7,3.2,4.3,1.2,0.3,2.5,2.3,20.8
SF,29,30,26,30.9,5.5,10.5,0.529,3.3,6.6,0.495,2.3,3.9,0.586,0.685,0.5,0.8,0.696,0.6,2.9,3.5,1.9,0.5,0.2,0.8,2.4,14.9
PF,20,28,28,31.1,4.5,11.5,0.393,1.5,5.3,0.286,3.0,6.3,0.483,0.458,1.6,2.1,0.767,0.5,6.9,7.4,1.8,0.5,0.7,1.8,1.0,12.2
C,29,47,7,10.0,1.1,2.3,0.481,0.1,0.3,0.333,1.0,2.0,0.505,0.505,0.8,1.1,0.704,0.7,2.2,2.9,0.6,0.3,0.4,0.3,1.7,3.1
SG,32,81,8,20.3,2.1,6.0,0.351,0.9,3.1,0.3,1.2,2.9,0.405,0.428,0.8,0.9,0.824,0.3,1.6,1.9,2.0,0.5,0.4,1.1,1.6,5.9
PG,23,2,0,2.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
SF,27,72,72,35.8,9.7,19.2,0.505,2.6,6.7,0.387,7.1,12.5,0.569,0.573,6.2,6.9,0.898,0.6,7.6,8.2,5.0,1.0,1.2,3.5,1.9,28.2
PG,27,80,80,34.4,8.2,18.1,0.454,1.3,4.3,0.296,6.9,13.8,0.503,0.489,5.8,7.2,0.812,1.8,6.0,7.8,10.4,2.0,0.3,4.3,2.5,23.5
PF,30,24,24,29.0,2.0,5.4,0.362,0.3,1.8,0.186,1.6,3.6,0.448,0.392,1.0,1.4,0.676,0.6,5.0,5.6,8.3,1.4,0.6,2.6,3.1,5.2
PF,26,56,0,14.7,2.6,5.5,0.471,0.7,2.0,0.36,1.9,3.5,0.536,0.537,0.9,1.2,0.785,0.6,3.0,3.6,0.4,0.2,0.4,0.7,1.2,6.9
SG,23,28,0,8.9,0.8,2.5,0.296,0.3,1.1,0.25,0.5,1.4,0.333,0.352,0.4,0.9,0.417,0.2,1.1,1.4,0.4,0.5,0.0,0.3,0.9,2.1
SG,23,19,0,8.1,1.1,2.1,0.525,0.6,1.1,0.524,0.5,1.0,0.526,0.663,0.2,0.5,0.333,0.2,0.6,0.8,0.4,0.2,0.0,0.4,0.6,2.9
PF,27,24,24,28.1,5.0,10.7,0.467,1.7,4.3,0.388,3.3,6.4,0.519,0.545,2.1,2.7,0.781,0.9,5.3,6.3,3.8,1.1,0.8,1.4,1.8,13.8
PF,22,13,0,21.7,1.7,4.5,0.379,0.7,2.2,0.31,1.0,2.2,0.448,0.457,0.2,0.5,0.5,1.2,2.2,3.4,2.1,0.8,0.3,0.7,1.0,4.3
SF,24,15,0,17.5,2.1,4.3,0.477,0.9,2.8,0.31,1.2,1.5,0.783,0.577,1.0,1.1,0.882,0.7,3.0,3.7,1.2,0.6,0.5,1.0,1.3,6.0
C,26,78,14,19.0,3.0,5.7,0.532,0.0,0.0,0.0,3.0,5.7,0.532,0.532,0.7,1.3,0.548,2.2,3.3,5.4,0.4,0.5,0.9,0.6,2.4,6.8
PG,22,80,6,20.3,4.1,9.8,0.421,1.0,3.0,0.322,3.2,6.8,0.465,0.471,1.8,2.3,0.791,0.3,2.2,2.6,4.4,0.9,0.1,2.3,1.7,11.0
SF,31,72,72,35.1,7.9,18.2,0.434,1.5,4.3,0.339,6.4,13.8,0.463,0.474,4.6,5.6,0.829,1.4,6.4,7.7,4.2,0.9,0.5,2.4,2.5,21.8
SG,24,28,28,26.1,3.7,8.9,0.419,2.0,4.9,0.401,1.8,4.0,0.441,0.53,0.5,0.8,0.619,1.0,3.4,4.5,2.8,1.2,0.2,1.2,1.5,9.9
C,22,28,10,26.2,4.4,6.8,0.642,0.0,0.1,0.25,4.3,6.6,0.651,0.645,3.6,4.7,0.758,2.9,6.1,9.0,1.6,0.5,1.6,1.5,1.6,12.3
PF,26,5,0,7.0,0.8,2.0,0.4,0.8,1.8,0.444,0.0,0.2,0.0,0.6,0.2,0.4,0.5,0.0,0.2,0.2,0.0,0.2,0.0,0.4,0.6,2.6
SG,23,10,0,6.8,1.2,2.7,0.444,0.5,1.2,0.417,0.7,1.5,0.467,0.537,0.9,1.0,0.9,0.3,0.5,0.8,0.7,0.2,0.0,0.1,0.3,3.8
