Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
C,28,26,16,22.5,2.7,4.6,0.58,0.0,0.0,0.0,2.7,4.5,0.585,0.58,0.8,1.8,0.447,2.2,3.6,5.8,1.3,0.2,1.2,0.9,2.3,6.1
SG,25,19,8,23.9,3.2,7.4,0.429,2.3,5.3,0.436,0.8,2.1,0.41,0.586,1.7,1.9,0.892,0.4,2.5,2.9,2.1,1.0,0.2,1.1,1.3,10.4
PG,23,4,0,14.3,2.3,5.8,0.391,0.5,2.0,0.25,1.8,3.8,0.467,0.435,0.8,1.0,0.75,0.5,1.0,1.5,2.0,0.0,0.3,1.0,0.3,5.8
SF,36,35,5,16.9,1.6,5.1,0.311,0.7,2.4,0.31,0.8,2.7,0.312,0.384,1.1,1.6,0.702,0.5,2.0,2.5,0.8,0.6,0.3,0.4,1.9,5.0
PG,32,20,20,24.2,2.7,6.2,0.435,1.8,4.0,0.443,1.0,2.3,0.422,0.577,1.1,1.5,0.759,1.0,3.2,4.2,2.2,1.0,0.8,0.8,3.4,8.3
SG,21,76,76,32.1,4.7,10.1,0.469,1.4,3.9,0.354,3.3,6.2,0.543,0.538,1.4,1.8,0.82,0.7,2.2,2.9,1.9,1.3,0.2,1.3,1.9,12.3
SF,38,68,38,18.1,2.1,5.8,0.363,1.1,3.6,0.31,1.0,2.3,0.445,0.457,0.8,1.0,0.818,0.2,2.6,2.7,1.0,0.5,0.3,0.9,1.9,6.1
PF,30,26,26,31.4,2.7,7.2,0.371,1.7,5.1,0.333,1.0,2.1,0.463,0.489,0.6,0.7,0.889,0.8,5.4,6.2,1.8,1.6,0.9,1.0,2.6,7.6
SF,35,74,5,17.9,1.9,4.2,0.458,0.9,2.3,0.382,1.0,1.9,0.554,0.564,0.8,1.2,0.667,0.2,1.5,1.7,0.8,0.4,0.2,0.6,1.7,5.5
SG,28,9,2,23.7,3.3,8.7,0.385,2.3,6.4,0.362,1.0,2.2,0.45,0.519,0.9,1.0,0.889,0.2,3.6,3.8,2.1,0.4,0.1,1.2,2.0,9.9
SG,27,78,13,26.3,3.8,9.3,0.412,1.0,2.9,0.336,2.9,6.4,0.446,0.464,3.1,3.7,0.815,0.5,2.7,3.2,3.0,0.7,0.5,1.9,2.1,11.7
SF,20,7,0,7.3,0.6,2.6,0.222,0.1,1.1,0.125,0.4,1.4,0.3,0.25,0.4,1.0,0.429,0.1,1.1,1.3,1.0,0.0,0.0,0.6,1.0,1.7
SG,27,26,15,28.3,5.5,11.8,0.464,2.3,5.3,0.424,3.2,6.5,0.497,0.56,3.0,3.4,0.876,0.4,2.5,2.9,1.5,1.1,0.2,1.4,2.0,16.3
PF,20,8,0,4.5,0.6,1.3,0.5,0.0,0.0,0.0,0.6,1.3,0.5,0.5,0.0,0.0,0.0,0.3,0.5,0.8,0.0,0.1,0.3,0.1,0.1,1.3
C,27,4,0,4.5,0.3,0.8,0.333,0.0,0.0,0.0,0.3,0.8,0.333,0.333,0.5,1.0,0.5,0.5,0.5,1.0,0.3,0.0,0.5,0.3,0.3,1.0
SG,24,31,3,25.7,4.4,10.8,0.41,1.0,2.5,0.405,3.4,8.2,0.412,0.458,3.4,4.5,0.752,0.5,3.0,3.5,2.0,0.6,0.1,1.6,2.3,13.3
PF,22,24,6,19.3,1.9,4.3,0.451,0.9,2.2,0.415,1.0,2.0,0.49,0.559,0.6,1.2,0.517,1.0,2.0,3.0,1.0,0.5,0.4,1.0,3.0,5.4
SF,25,11,0,3.9,0.5,1.6,0.333,0.2,0.7,0.25,0.4,0.9,0.4,0.389,0.0,0.0,0.0,0.1,0.9,1.0,0.0,0.2,0.0,0.4,0.4,1.3
C,24,39,0,12.7,1.5,2.7,0.548,0.0,0.0,0.0,1.5,2.7,0.548,0.548,0.5,1.2,0.422,1.1,2.9,4.0,0.4,0.4,0.5,0.6,2.0,3.4
C,31,70,66,20.7,2.5,4.0,0.627,0.0,0.0,1.0,2.5,4.0,0.626,0.629,0.3,0.7,0.48,1.7,5.3,7.0,2.3,0.5,1.6,1.2,3.2,5.4
PF,28,79,2,20.7,2.4,4.9,0.49,0.2,0.5,0.293,2.3,4.4,0.513,0.505,0.9,1.3,0.67,2.1,3.6,5.7,1.1,0.7,0.5,1.0,2.1,5.9
SG,22,15,0,21.1,3.6,8.0,0.45,2.2,4.4,0.5,1.4,3.6,0.389,0.588,1.1,1.3,0.85,0.3,2.0,2.3,1.8,0.3,0.1,1.1,1.3,10.5
PG,30,27,12,25.1,2.5,6.7,0.37,0.6,2.1,0.276,1.9,4.6,0.415,0.414,1.6,2.0,0.83,0.4,3.0,3.4,6.5,1.3,0.0,2.1,2.2,7.2
SG,27,16,10,21.8,2.6,4.7,0.56,0.7,1.6,0.423,1.9,3.1,0.633,0.633,0.6,0.9,0.714,0.8,4.0,4.8,2.3,0.6,0.7,1.1,2.3,6.6
C,28,34,2,10.9,2.3,3.9,0.575,0.0,0.0,0.0,2.3,3.9,0.579,0.575,0.5,1.1,0.5,1.6,2.4,3.9,0.1,0.1,0.8,0.6,1.4,5.1
PF,23,14,14,30.4,6.8,13.2,0.514,2.9,7.2,0.396,3.9,6.0,0.655,0.622,2.7,3.2,0.844,0.6,5.5,6.1,0.9,0.6,0.4,1.7,2.2,19.1
C,25,28,1,21.8,5.0,9.0,0.556,1.1,2.2,0.484,3.9,6.8,0.579,0.615,0.7,1.0,0.679,2.0,5.3,7.3,1.1,0.9,0.4,0.8,2.0,11.8
PG,23,76,6,16.6,2.0,5.1,0.394,0.3,1.3,0.22,1.7,3.8,0.454,0.422,1.3,1.6,0.78,0.3,1.6,1.9,2.3,0.7,0.1,1.1,1.3,5.6
PF,26,12,4,18.2,2.5,6.2,0.405,1.1,3.1,0.351,1.4,3.1,0.459,0.493,2.0,2.3,0.889,0.2,2.7,2.8,0.6,0.7,0.7,0.9,1.8,8.1
C,28,29,29,30.3,5.4,8.5,0.64,0.0,0.0,0.0,5.4,8.5,0.642,0.64,3.3,5.8,0.581,3.5,9.9,13.4,1.3,0.4,2.7,1.6,2.2,14.2
SG,27,24,24,35.3,11.4,24.0,0.473,2.5,7.4,0.337,8.9,16.6,0.534,0.525,7.5,8.4,0.896,1.4,3.8,5.2,4.7,1.3,0.5,3.1,2.5,32.8
PG,26,16,0,17.2,2.6,5.6,0.461,0.9,2.4,0.395,1.6,3.2,0.51,0.545,0.6,0.6,1.0,0.1,1.8,1.9,3.6,0.6,0.2,1.2,2.1,6.6
SG,27,45,44,32.9,5.1,12.3,0.418,2.5,6.5,0.384,2.6,5.7,0.457,0.521,2.5,2.8,0.888,0.2,2.0,2.2,2.7,1.0,0.3,1.6,2.2,15.2
PG,25,8,0,7.6,1.0,3.1,0.32,0.1,1.0,0.125,0.9,2.1,0.412,0.34,0.4,0.5,0.75,0.0,0.9,0.9,1.4,0.4,0.1,1.1,0.5,2.5
C,27,20,6,14.6,2.4,3.8,0.627,0.3,1.0,0.316,2.1,2.8,0.732,0.667,1.0,1.7,0.588,0.8,2.8,3.5,1.1,0.4,1.1,1.2,1.9,6.0
SF,27,53,53,34.7,5.4,13.2,0.41,1.6,4.5,0.364,3.8,8.7,0.434,0.472,7.1,8.2,0.868,1.0,4.3,5.3,2.5,0.8,0.4,1.5,1.6,19.5
C,27,54,4,9.4,1.9,3.2,0.603,0.0,0.0,0.0,1.9,3.2,0.603,0.603,1.6,2.1,0.763,1.4,2.2,3.6,0.4,0.2,0.4,0.5,1.0,5.5
C,27,25,25,29.6,5.4,8.4,0.648,0.0,0.2,0.2,5.4,8.2,0.659,0.65,1.8,2.3,0.793,2.5,5.2,7.7,1.8,0.7,1.6,1.5,4.1,12.8
C,31,75,74,30.1,5.8,10.2,0.567,0.0,0.0,0.0,5.8,10.2,0.567,0.567,1.9,2.8,0.705,3.0,6.9,9.9,1.4,0.6,1.3,1.6,2.6,13.5
PF,23,9,0,6.0,1.0,2.4,0.409,0.3,1.0,0.333,0.7,1.4,0.462,0.477,0.8,0.9,0.875,0.9,0.7,1.6,0.1,0.2,0.3,0.4,0.8,3.1
SF,25,67,49,28.4,4.1,10.6,0.385,2.5,7.2,0.353,1.6,3.4,0.452,0.504,2.1,2.6,0.791,1.0,5.3,6.3,1.4,1.6,0.6,2.1,3.5,12.8
C,30,46,0,13.8,2.8,6.1,0.455,0.1,0.3,0.188,2.7,5.7,0.471,0.461,1.0,1.2,0.825,0.6,1.5,2.1,0.4,0.1,0.2,0.6,1.3,6.6
PF,24,50,11,20.9,3.3,7.3,0.452,0.5,1.6,0.316,2.8,5.8,0.49,0.486,1.5,2.3,0.664,1.2,3.0,4.2,0.8,0.5,0.8,1.0,1.7,8.7
PF,20,15,0,7.5,1.1,2.1,0.5,0.7,1.3,0.5,0.4,0.8,0.5,0.656,0.1,0.3,0.5,0.3,0.5,0.9,0.0,0.1,0.1,0.0,0.5,2.9
C,32,15,0,7.2,1.9,3.6,0.519,0.0,0.2,0.0,1.9,3.4,0.549,0.519,0.6,0.9,0.692,1.3,2.0,3.3,0.1,0.0,0.0,0.2,0.8,4.3
PF,25,39,2,10.9,1.9,3.4,0.571,0.0,0.0,0.0,1.9,3.4,0.571,0.571,0.8,1.4,0.545,1.3,1.9,3.1,0.3,0.2,0.8,0.4,1.2,4.7
SG,21,21,0,4.4,0.2,0.9,0.263,0.1,0.5,0.3,0.1,0.4,0.222,0.342,0.2,0.6,0.417,0.2,0.5,0.7,0.1,0.3,0.0,0.2,0.5,0.9
SG,38,58,0,19.6,3.4,7.5,0.453,1.2,3.1,0.391,2.2,4.4,0.496,0.533,1.6,1.9,0.813,0.4,2.1,2.5,3.1,1.1,0.2,1.7,1.7,9.6
SG,23,14,0,17.4,2.3,5.5,0.416,0.6,1.6,0.391,1.6,3.9,0.426,0.474,0.5,1.0,0.5,0.2,2.0,2.2,1.6,0.9,0.2,1.1,1.8,5.7
PG,21,61,10,27.3,3.0,8.7,0.348,1.0,4.0,0.253,2.0,4.7,0.427,0.405,2.1,2.7,0.777,1.2,2.9,4.2,3.0,1.5,0.3,1.3,3.0,9.1
SG,23,26,0,19.0,2.3,6.2,0.377,1.6,4.5,0.347,0.8,1.7,0.455,0.503,1.1,1.3,0.879,0.2,1.3,1.5,1.3,0.5,0.2,0.8,1.3,7.4
PG,25,65,23,28.2,6.3,14.4,0.439,1.3,4.0,0.336,5.0,10.4,0.478,0.485,2.8,3.3,0.843,0.4,2.6,3.0,6.0,1.4,0.3,2.6,2.3,16.8
PF,30,72,5,18.6,1.8,4.6,0.386,1.4,3.8,0.36,0.4,0.8,0.5,0.533,0.4,0.7,0.617,0.5,2.6,3.2,0.7,0.4,0.2,0.4,1.2,5.3
PF,28,12,2,17.7,2.9,4.3,0.673,0.0,0.0,0.0,2.9,4.3,0.673,0.673,1.1,2.0,0.542,1.2,2.4,3.6,0.5,0.4,1.3,0.8,1.8,6.9
PG,28,66,13,21.4,2.1,5.4,0.393,0.5,1.6,0.333,1.6,3.7,0.419,0.444,0.9,1.3,0.686,0.4,1.4,1.8,3.6,0.8,0.1,1.4,1.3,5.7
SG,26,28,28,36.4,6.9,16.6,0.417,3.3,8.7,0.377,3.6,7.9,0.462,0.516,3.3,3.6,0.892,0.7,3.5,4.2,6.6,1.7,0.7,2.1,2.3,20.4
SG,21,27,27,29.6,4.3,10.6,0.409,1.9,5.7,0.323,2.5,4.9,0.511,0.497,2.0,2.6,0.746,0.7,2.8,3.5,1.4,0.9,0.3,1.5,2.5,12.5
PF,24,25,1,14.7,1.0,2.5,0.403,0.6,1.5,0.405,0.4,1.0,0.4,0.524,0.4,0.6,0.786,0.6,2.0,2.5,1.4,0.8,0.3,0.7,1.7,3.0
PF,24,8,0,6.0,0.4,0.8,0.5,0.0,0.0,0.0,0.4,0.8,0.5,0.5,0.3,0.5,0.5,0.4,1.0,1.4,0.1,0.0,0.5,0.4,0.5,1.0
SF,25,23,1,15.8,2.2,5.2,0.42,0.7,2.2,0.3,1.5,3.0,0.507,0.483,0.6,1.1,0.56,0.8,2.0,2.8,1.3,0.9,0.3,0.7,1.1,5.6
PF,24,1,0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
PG,29,23,0,20.0,2.0,6.0,0.326,0.8,3.2,0.247,1.2,2.8,0.415,0.391,1.0,1.1,0.846,0.2,1.8,2.0,4.0,0.4,0.0,1.7,1.8,5.7
SG,31,27,26,28.9,4.6,10.5,0.437,2.2,5.4,0.401,2.4,5.1,0.474,0.54,1.3,2.0,0.648,0.5,3.1,3.6,3.7,0.7,0.3,1.7,1.5,12.7
PF,30,24,16,27.9,3.4,8.9,0.379,2.4,6.9,0.345,1.0,2.0,0.49,0.512,1.2,1.4,0.848,0.4,4.8,5.2,2.2,0.9,0.2,0.8,2.0,10.3
PF,34,30,13,26.0,3.5,6.9,0.505,1.6,3.7,0.427,1.9,3.2,0.594,0.619,1.2,1.5,0.822,0.5,3.3,3.7,1.4,0.7,0.3,0.8,2.0,9.7
PF,22,22,9,20.2,3.4,6.2,0.54,0.5,1.6,0.314,2.9,4.6,0.618,0.58,1.3,1.9,0.69,1.6,3.5,5.2,1.5,0.7,0.6,1.0,2.5,8.5
SF,29,82,12,20.4,2.6,6.7,0.384,0.7,2.7,0.272,1.8,4.0,0.46,0.439,1.3,1.7,0.75,0.5,1.9,2.4,1.3,1.0,0.2,1.0,2.0,7.2
SG,23,13,3,17.0,1.7,5.2,0.328,0.7,2.4,0.29,1.0,2.8,0.361,0.396,1.2,1.3,0.882,0.2,2.4,2.5,1.4,0.5,0.2,0.8,1.6,5.2
PF,20,62,4,17.8,3.0,7.0,0.427,0.3,0.8,0.308,2.7,6.2,0.443,0.445,0.8,1.1,0.727,2.0,3.5,5.4,0.8,0.4,0.4,0.9,1.6,7.0
SG,35,79,5,26.9,4.8,11.9,0.404,1.5,4.4,0.34,3.3,7.5,0.44,0.466,3.1,3.4,0.904,0.3,1.6,1.8,2.3,0.7,0.2,1.4,1.5,14.2
SF,31,76,76,35.6,9.7,18.6,0.52,1.1,3.7,0.309,8.6,14.9,0.573,0.551,4.7,6.5,0.731,1.5,6.0,7.4,6.8,1.4,0.6,3.3,1.9,25.3
PG,26,22,0,18.7,2.0,4.4,0.464,1.0,2.3,0.44,1.0,2.1,0.489,0.577,0.5,0.5,0.833,0.5,1.9,2.4,2.3,1.0,0.2,1.1,1.6,5.5
PG,29,61,7,22.5,3.0,7.3,0.41,0.8,2.4,0.309,2.2,4.8,0.461,0.462,3.6,4.3,0.832,0.4,2.2,2.6,3.8,1.4,0.2,1.8,3.0,10.3
PG,24,41,6,11.6,1.3,3.6,0.377,0.4,1.0,0.357,1.0,2.5,0.385,0.428,0.3,0.4,0.8,0.2,1.0,1.1,1.5,0.3,0.2,0.6,0.7,3.3
SF,26,19,3,15.4,2.4,4.8,0.489,0.6,1.9,0.297,1.8,2.9,0.618,0.549,0.9,1.2,0.783,0.3,1.2,1.5,0.5,0.9,0.5,0.5,1.2,6.3
SG,21,15,0,15.7,3.5,7.7,0.457,1.1,3.2,0.354,2.4,4.5,0.529,0.53,1.5,1.9,0.786,0.5,1.2,1.7,0.9,0.4,0.3,0.6,1.8,9.7
SF,30,26,26,35.5,8.1,16.6,0.486,2.2,5.2,0.422,5.9,11.4,0.515,0.552,3.9,4.5,0.864,0.9,4.5,5.5,3.8,1.1,0.4,2.1,1.9,22.3
C,27,27,27,28.1,3.5,5.8,0.603,0.0,0.0,0.0,3.5,5.7,0.606,0.603,1.1,2.3,0.468,4.3,4.6,8.9,2.1,1.0,0.6,1.7,1.9,8.0
PF,20,76,72,31.7,5.8,11.8,0.493,0.1,0.5,0.257,5.7,11.4,0.502,0.498,2.3,3.0,0.768,1.6,3.6,5.2,1.7,0.9,0.4,1.5,2.0,14.1
PF,24,8,0,2.8,0.4,1.0,0.375,0.4,0.8,0.5,0.0,0.3,0.0,0.563,0.0,0.0,0.0,0.1,0.4,0.5,0.0,0.1,0.1,0.1,0.5,1.1
SF,30,15,0,11.7,1.1,2.5,0.459,0.5,1.2,0.444,0.6,1.3,0.474,0.568,0.1,0.1,0.5,0.8,1.8,2.6,0.8,0.5,0.3,0.3,1.5,2.9
PG,33,39,15,26.6,2.9,7.9,0.368,1.1,3.7,0.299,1.8,4.2,0.429,0.438,0.8,0.9,0.857,0.5,2.5,2.9,4.9,0.6,0.1,1.7,2.6,7.7
C,20,53,48,30.0,7.5,14.7,0.508,0.0,0.1,0.167,7.5,14.6,0.511,0.509,2.5,3.7,0.686,2.3,4.7,7.0,1.2,0.4,1.2,2.3,2.6,17.5
SG,20,28,6,16.9,3.7,8.1,0.456,0.5,1.9,0.278,3.1,6.1,0.512,0.489,0.8,0.9,0.88,0.2,1.7,1.9,1.7,0.5,0.1,0.6,1.2,8.7
C,29,27,22,26.0,3.6,8.5,0.424,2.1,6.1,0.343,1.5,2.3,0.635,0.548,0.6,0.8,0.714,1.0,4.8,5.8,2.0,0.8,0.7,1.3,2.6,9.9
SG,22,76,76,36.7,5.3,12.6,0.42,1.5,4.9,0.309,3.8,7.8,0.489,0.479,2.4,3.0,0.811,0.9,2.8,3.7,1.8,1.4,0.2,1.4,2.2,14.5
PF,32,2,2,23.0,3.0,9.0,0.333,1.5,4.5,0.333,1.5,4.5,0.333,0.417,2.0,2.5,0.8,1.0,5.0,6.0,2.5,0.5,0.0,1.5,0.5,9.5
C,27,13,4,16.6,3.2,5.0,0.646,0.2,1.0,0.231,3.0,4.0,0.75,0.669,1.3,2.2,0.607,1.2,3.4,4.5,1.4,0.5,1.2,1.2,2.2,8.0
C,33,20,1,15.7,3.1,6.8,0.459,0.3,0.8,0.313,2.9,6.0,0.479,0.478,1.3,2.2,0.591,1.7,3.9,5.6,1.0,0.5,1.2,1.3,2.5,7.8
PF,27,59,5,22.3,2.9,6.5,0.442,0.7,1.8,0.404,2.1,4.6,0.458,0.5,1.7,2.0,0.857,0.6,1.6,2.2,0.9,0.4,0.1,1.0,1.8,8.2
C,27,25,25,28.9,7.2,15.2,0.474,0.0,0.3,0.0,7.2,14.9,0.484,0.474,3.1,5.2,0.597,4.0,9.4,13.5,2.6,1.6,1.2,3.2,2.8,17.5
SF,24,8,0,6.3,0.8,1.9,0.4,0.0,0.5,0.0,0.8,1.4,0.545,0.4,0.1,0.9,0.143,0.3,0.6,0.9,0.4,0.1,0.1,0.0,0.1,1.6
SG,22,49,24,14.8,2.0,4.7,0.424,0.7,1.8,0.404,1.2,2.9,0.436,0.502,0.9,1.1,0.811,0.3,1.9,2.3,1.0,0.6,0.2,0.7,1.2,5.6
C,27,82,82,27.1,4.4,8.1,0.539,0.0,0.0,0.0,4.4,8.1,0.54,0.539,1.6,2.0,0.795,3.3,4.1,7.3,1.4,0.2,1.6,1.6,2.2,10.3
SG,28,29,0,26.2,6.7,14.8,0.453,3.2,8.5,0.382,3.4,6.3,0.549,0.563,1.6,1.7,0.958,0.9,3.2,4.1,2.1,1.0,0.2,1.9,1.4,18.2
SF,26,80,80,35.7,5.1,11.8,0.434,1.4,3.7,0.362,3.8,8.1,0.467,0.491,2.5,3.4,0.749,1.1,3.9,5.1,2.5,0.8,0.3,1.8,2.1,14.1
PF,22,28,2,26.7,3.8,8.0,0.469,1.3,3.5,0.364,2.5,4.5,0.552,0.549,1.1,1.2,0.939,1.3,4.5,5.8,1.9,0.7,0.8,1.8,2.4,9.9
PG,22,12,0,13.3,1.6,4.5,0.352,0.1,0.8,0.1,1.5,3.7,0.409,0.361,1.6,2.8,0.576,0.3,1.1,1.4,1.8,0.3,0.0,0.6,1.7,4.8
SF,20,26,1,17.3,1.9,4.8,0.397,1.0,2.4,0.397,1.0,2.4,0.397,0.496,0.7,0.8,0.857,0.6,2.6,3.2,1.1,1.1,0.3,0.5,1.2,5.5
SF,26,47,13,18.0,2.6,6.1,0.422,0.9,2.3,0.404,1.7,3.8,0.433,0.498,0.8,1.1,0.78,0.5,2.6,3.1,1.1,0.2,0.1,0.5,1.9,7.0
SF,31,27,0,16.6,2.5,4.9,0.515,1.0,2.3,0.459,1.5,2.6,0.563,0.621,0.9,1.1,0.8,0.5,2.6,3.1,1.6,0.8,0.6,1.0,2.2,7.0
C,33,16,2,7.0,1.3,2.7,0.465,0.1,0.3,0.25,1.2,2.4,0.487,0.477,0.2,0.2,1.0,0.4,1.1,1.5,0.7,0.1,0.1,0.5,0.9,2.8
SG,28,72,0,19.9,3.2,7.3,0.439,0.7,1.9,0.353,2.6,5.5,0.468,0.484,1.6,2.0,0.767,0.4,2.5,2.9,1.0,0.5,0.3,0.9,1.2,8.7
C,37,27,15,14.9,1.4,2.7,0.528,0.1,0.5,0.286,1.3,2.1,0.586,0.556,0.9,1.3,0.694,1.3,2.3,3.6,0.4,0.6,0.5,0.3,1.1,3.9
PF,34,26,0,22.0,4.2,9.9,0.419,1.6,4.3,0.366,2.6,5.6,0.459,0.498,1.3,1.7,0.767,0.9,4.3,5.2,1.5,0.7,0.5,1.2,1.8,11.2
PG,29,72,72,32.8,5.8,12.2,0.477,0.9,2.8,0.312,4.9,9.3,0.527,0.513,1.7,2.3,0.727,0.8,3.1,3.8,5.8,1.0,0.2,2.6,2.6,14.1
SG,27,25,25,25.1,3.0,6.7,0.446,1.6,3.7,0.424,1.4,3.0,0.474,0.563,0.9,1.1,0.852,0.3,1.9,2.2,1.3,0.8,0.3,1.0,1.6,8.5
SF,28,24,9,23.3,3.4,7.0,0.482,0.6,2.2,0.264,2.8,4.8,0.583,0.524,1.4,2.1,0.68,1.2,2.5,3.7,1.1,1.1,0.8,0.6,2.1,8.8
C,25,65,65,34.6,9.2,20.5,0.451,1.1,3.2,0.333,8.2,17.3,0.473,0.477,7.3,10.2,0.718,2.4,9.1,11.5,3.3,1.6,1.4,3.8,3.6,26.9
PF,23,76,74,33.1,5.5,11.7,0.469,1.1,3.1,0.335,4.4,8.6,0.518,0.514,2.7,3.2,0.831,1.3,5.4,6.7,2.2,0.9,0.5,1.4,2.0,14.7
C,24,59,15,17.6,3.3,6.4,0.513,0.2,0.9,0.245,3.1,5.5,0.557,0.53,1.1,1.2,0.899,1.3,3.6,4.9,0.9,0.2,0.3,0.9,1.9,7.9
SF,22,9,0,6.3,0.6,1.9,0.294,0.2,1.3,0.167,0.3,0.6,0.6,0.353,0.1,0.2,0.5,0.2,0.8,1.0,0.2,0.6,0.2,0.8,0.8,1.4
PG,19,37,0,15.5,1.5,4.2,0.359,0.4,1.4,0.302,1.1,2.8,0.388,0.41,0.8,1.1,0.718,0.2,1.1,1.3,2.9,0.8,0.1,0.9,0.9,4.2
SF,22,23,23,35.2,9.3,20.8,0.449,2.7,7.0,0.389,6.6,13.8,0.479,0.515,4.4,5.0,0.886,0.6,6.4,7.0,4.7,1.3,0.4,2.4,1.9,25.8
SF,24,27,27,33.3,5.1,10.1,0.504,2.0,4.9,0.398,3.1,5.1,0.604,0.601,2.0,2.4,0.833,1.4,4.0,5.3,2.1,0.6,1.0,0.7,1.9,14.1
SG,31,40,2,20.2,3.8,8.1,0.465,1.0,2.5,0.41,2.8,5.6,0.489,0.528,1.2,1.4,0.855,0.3,1.8,2.1,1.2,0.5,0.0,0.7,1.4,9.8
SF,22,4,0,3.3,0.5,1.3,0.4,0.0,0.0,0.0,0.5,1.3,0.4,0.4,0.5,1.0,0.5,0.5,0.3,0.8,0.0,0.0,0.3,0.0,0.5,1.5
SG,21,15,0,9.5,1.7,4.1,0.426,0.9,2.6,0.333,0.9,1.5,0.591,0.533,1.2,1.3,0.947,0.1,1.1,1.2,0.9,0.2,0.1,0.5,0.9,5.5
SG,23,67,7,21.9,3.4,7.7,0.438,0.9,2.8,0.335,2.4,4.9,0.495,0.498,1.2,1.7,0.681,0.3,1.6,1.9,1.5,0.7,0.1,0.9,2.0,8.9
SG,21,6,0,3.2,0.5,2.2,0.231,0.2,0.8,0.2,0.3,1.3,0.25,0.269,0.2,0.3,0.5,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.2,1.3
SG,24,27,3,15.1,1.6,3.5,0.457,0.2,0.9,0.25,1.4,2.6,0.529,0.489,0.9,1.2,0.75,0.9,2.4,3.3,1.1,0.5,0.2,0.7,1.5,4.3
PG,28,62,0,19.0,2.4,5.6,0.423,1.1,2.7,0.405,1.3,2.9,0.44,0.52,1.7,2.1,0.805,0.1,1.4,1.5,3.2,0.6,0.1,1.4,1.4,7.5
SF,23,79,71,32.5,5.4,11.8,0.462,2.0,4.9,0.4,3.5,6.8,0.506,0.546,2.5,3.0,0.836,0.4,2.4,2.8,2.7,1.2,0.0,1.7,2.7,15.4
SG,24,23,23,35.2,9.0,18.2,0.492,2.0,5.8,0.353,6.9,12.4,0.556,0.548,4.4,5.3,0.829,0.2,3.5,3.7,4.4,0.9,0.3,3.5,3.3,24.4
SF,25,81,81,34.8,7.5,17.9,0.418,2.6,7.0,0.371,4.9,10.9,0.447,0.49,5.6,6.5,0.86,1.0,6.0,7.0,4.1,1.9,0.4,3.3,2.8,23.1
